Record ,longitude,latitude,Elev,Trend,Elev,Elev (KPB),Elev difference,Cluster #,Time bin
2343.0,-106.2796485,47.5060264,730.0,171.0,730.0,710.0034455,19.9965545,0,2
2360.0,-106.2758086,47.50374766,729.0,153.0,729.0,708.6618387,20.3381613,0,2
2409.0,-106.2701564,47.4896293,726.0,29.0,726.0,703.5265774,22.4734226,0,2
2406.0,-106.267901,47.49189481,727.0,8.0,727.0,703.7944198,23.2055802,0,2
2398.0,-106.2685344,47.49393939,728.0,40.0,728.0,704.5063377,23.4936623,0,2
2380.0,-106.2705677,47.49842496,730.0,147.0,730.0,706.177606,23.822394,0,2
72.0,-107.2895746,47.53441521,913.0,110.0,913.0,897.4091361,15.5908639,0,2
41.0,-107.2828894,47.55334648,918.0,179.0,918.0,901.6987397,16.3012603,0,2
50.0,-107.2932776,47.54132406,919.0,108.0,919.0,900.069916,18.930084,0,2
71.0,-107.2807501,47.53989127,917.0,98.9,917.0,897.4197167,19.5802833,0,2
67.0,-107.2841089,47.5398154,919.0,55.3,919.0,897.9978354,21.0021646,0,2
68.0,-107.285888,47.53825018,920.0,21.9,920.0,897.8599838,22.1400162,0,2
130.0,-107.2739188,47.52727605,915.0,96.0,915.0,892.5436451,22.4563549,0,2
21.0,-107.3151071,47.54634738,928.0,148.0,928.0,905.4252982,22.5747018,0,2
82.0,-107.2754679,47.53881744,920.0,120.0,920.0,896.1660999,23.8339001,0,2
61.0,-107.293143,47.5361076,923.0,91.0,923.0,898.5372299,24.4627701,0,2
114.0,-107.2793869,47.52898516,919.0,119.0,919.0,894.0147459,24.9852541,0,2
77.0,-107.1433677,47.53069131,873.0,111.2,873.0,870.2399103,2.7600897,0,2
98.0,-107.1282901,47.5317371,871.0,126.0,871.0,867.8561721,3.1438279,0,2
626.0,-106.8402206,47.52099397,826.0,115.0,826.0,813.4934636,12.5065364,0,2
585.0,-106.8073613,47.55050925,832.0,142.0,832.0,816.2565802,15.7434198,0,2
627.0,-106.8284723,47.52771473,836.0,119.0,836.0,813.3649816,22.6350184,0,2
609.0,-106.831619,47.52918522,838.0,126.0,838.0,814.3537511,23.6462489,0,2
617.0,-106.8306738,47.5287504,839.0,117.0,839.0,814.0568744,24.9431256,0,2
1503.0,-106.5840931,47.51596463,789.0,37.0,789.0,766.642409,22.357591,0,2
1457.0,-106.6063319,47.51174997,793.0,34.0,793.0,769.3457086,23.6542914,0,2
1476.0,-106.5941814,47.51663465,793.0,107.0,793.0,768.6232072,24.3767928,0,2
1349.0,-106.5781638,47.54854798,800.0,34.9,800.0,775.1076284,24.8923716,0,2
1428.0,-106.5583254,47.54466213,787.0,119.0,787.0,770.4674678,16.5325322,0,2
1603.0,-106.5405481,47.52484536,780.0,21.0,780.0,761.5371484,18.4628516,0,2
1499.0,-106.5608815,47.53049118,789.0,134.0,789.0,766.7801793,22.2198207,0,2
1823.0,-106.4604411,47.52287929,759.0,62.0,759.0,746.8150252,12.1849748,0,2
1754.0,-106.4804131,47.53018164,765.0,106.0,765.0,752.4747553,12.5252447,0,2
1659.0,-106.4825648,47.54853712,772.0,74.0,772.0,758.2195847,13.7804153,0,2
1699.0,-106.4955615,47.53260354,774.0,129.0,774.0,755.8591649,18.1408351,0,2
1725.0,-106.4800848,47.53692552,773.0,156.0,773.0,754.3883448,18.6116552,0,2
1671.0,-106.4815637,47.54744328,777.0,79.0,777.0,757.7237391,19.2762609,0,2
1715.0,-106.4961822,47.52920312,775.0,135.0,775.0,754.9736128,20.0263872,0,2
1704.0,-106.4957366,47.53175542,778.0,133.0,778.0,755.6399421,22.3600579,0,2
1738.0,-106.4828193,47.53258906,777.0,119.0,777.0,753.6039539,23.3960461,0,2
1840.0,-106.4532269,47.52188217,770.0,60.0,770.0,745.2489879,24.7510121,0,2
1935.0,-106.4242533,47.51985221,746.0,23.0,746.0,739.5438799,6.4561201,0,2
1937.0,-106.4252451,47.51920101,748.0,24.0,748.0,739.5281444,8.4718556,0,2
1899.0,-106.387929,47.5497576,757.0,84.0,757.0,741.887079,15.112921,0,2
1892.0,-106.387484,47.55051883,760.0,84.8,760.0,742.0285146,17.9714854,0,2
1893.0,-106.3874707,47.55051899,760.0,86.0,760.0,742.027416,17.972584,0,2
2157.0,-106.3324836,47.5189578,730.0,17.0,730.0,723.100795,6.899205,0,2
2066.0,-106.3306278,47.54221254,741.0,68.0,741.0,729.581291,11.418709,0,2
1999.0,-106.3665903,47.5413037,748.0,64.0,748.0,735.6525165,12.3474835,0,2
2069.0,-106.3290099,47.54287017,742.0,97.0,742.0,729.4897449,12.5102551,0,2
2079.0,-106.3231771,47.54185785,742.0,108.0,742.0,728.1672545,13.8327455,0,2
2015.0,-106.3681453,47.53569731,750.0,90.0,750.0,734.2848052,15.7151948,0,2
2016.0,-106.367319,47.53559919,750.0,109.0,750.0,734.1106777,15.8893223,0,2
2076.0,-106.3427001,47.53100412,752.0,124.0,752.0,728.4265457,23.5734543,0,2
2030.0,-106.3591559,47.53695598,757.0,89.0,757.0,733.0675044,23.9324956,0,2
2103.0,-106.338103,47.52786351,751.0,150.0,751.0,726.6959219,24.3040781,0,2
2150.0,-106.3347349,47.51921056,748.0,1.0,748.0,723.5723367,24.4276633,0,2
2107.0,-106.3255178,47.53455133,751.0,29.0,751.0,726.4381421,24.5618579,0,2
2153.0,-106.3406275,47.51484069,748.0,154.0,748.0,723.3281458,24.6718542,0,2
2093.0,-106.3391669,47.52894887,752.0,143.0,752.0,727.2012056,24.7987944,0,2
2344.0,-106.2350726,47.53278974,721.0,77.0,721.0,710.0013733,10.9986267,0,2
2350.0,-106.2352054,47.53052079,721.0,89.0,721.0,709.3590481,11.6409519,0,2
2156.0,-106.2938465,47.54230051,741.0,120.0,741.0,723.1313462,17.8686538,0,2
2148.0,-106.2959916,47.54306812,743.0,131.0,743.0,723.7346334,19.2653666,0,2
2129.0,-106.299436,47.54424389,744.0,120.0,744.0,724.6856039,19.3143961,0,2
2137.0,-106.2998032,47.54297099,744.0,128.0,744.0,724.3755477,19.6244523,0,2
2281.0,-106.2669709,47.52938238,736.0,173.0,736.0,714.6159438,21.3840562,0,2
2287.0,-106.264605,47.52933651,736.0,179.0,736.0,714.1876446,21.8123554,0,2
2289.0,-106.265404,47.52831091,739.0,159.0,739.0,714.0260584,24.9739416,0,2
2357.0,-106.2209515,47.537467,710.0,160.0,710.0,708.8909583,1.1090417,0,2
2304.0,-106.2277988,47.54675191,715.0,160.0,715.0,712.8140779,2.1859221,0,2
2324.0,-106.2247195,47.54406741,714.0,154.0,714.0,711.4864134,2.5135866,0,2
2309.0,-106.2263665,47.54574145,716.0,152.0,716.0,712.2661517,3.7338483,0,2
2390.0,-106.1992986,47.5377225,713.0,118.0,713.0,705.1559215,7.8440785,0,2
798.0,-106.6910832,47.57671333,820.0,147.0,820.0,803.2966383,16.7033617,0,2
845.0,-106.6955796,47.56565111,818.0,74.0,818.0,800.8687347,17.1312653,0,2
896.0,-106.682099,47.56400502,816.0,156.0,816.0,798.0001564,17.9998436,0,2
667.0,-106.6996724,47.59885686,830.0,57.0,830.0,811.2719419,18.7280581,0,2
895.0,-106.6798722,47.56545939,817.0,149.0,817.0,798.0315232,18.9684768,0,2
657.0,-106.7016853,47.59857506,832.0,49.0,832.0,811.5494013,20.4505987,0,2
886.0,-106.6802583,47.56630856,819.0,146.0,819.0,798.3467562,20.6532438,0,2
787.0,-106.6917628,47.57964571,825.0,143.0,825.0,804.2724187,20.7275813,0,2
