Record #,longitude,latitude,Elev,Trend,Elev (KPB),Elev difference
774,-106.4346355,47.73801491,756,129,805.1816474,-49.1816474
349,-106.4882277,47.79732994,783,167,831.9394243,-48.9394243
898,-106.4156732,47.7244297,749,57,797.8737505,-48.8737505
621,-106.45444,47.75560834,765,151,813.8037647,-48.8037647
105,-107.2205214,47.56779028,846,41,894.756285,-48.756285
1212,-106.3498305,47.70505896,732,124.7,780.6376812,-48.6376812
1802,-106.2109421,47.67735685,700,151,748.1450467,-48.1450467
103,-107.2215884,47.56786859,847,95,894.9672508,-47.9672508
1144,-106.3672517,47.70908169,737,108.3,784.8754614,-47.8754614
705,-106.5626073,47.67337572,761,114,808.8140745,-47.8140745
1249,-106.345431,47.70141251,731,137,778.7987727,-47.7987727
1152,-106.3691298,47.7064769,737,74.1,784.4437142,-47.4437142
682,-106.4477985,47.74803516,763,152,810.4236762,-47.4236762
628,-106.45268,47.75469486,766,150,813.2300503,-47.2300503
1961,-106.2196273,47.63726912,691,103,737.9143373,-46.9143373
422,-106.7643534,47.6130959,780,89,826.8694556,-46.8694556
899,-106.4162732,47.72393641,751,43,797.8362479,-46.8362479
900,-106.4162732,47.72393641,751,43.1,797.8362212,-46.8362212
51,-107.0908667,47.57528524,827,58,873.8273378,-46.8273378
742,-106.4393487,47.74060125,760,117,806.7630667,-46.7630667
363,-106.7131469,47.65744119,784,120,830.7379183,-46.7379183
128,-107.1798323,47.58563217,846,101,892.6740414,-46.6740414
152,-107.1980994,47.56321923,843,44,889.4295787,-46.4295787
448,-106.5543086,47.73482757,779,130,825.2991319,-46.2991319
414,-106.754047,47.62045254,781,123,827.1902075,-46.1902075
674,-106.4493401,47.74878051,765,151,810.9127481,-45.9127481
423,-106.8835289,47.54037493,781,46,826.8251543,-45.8251543
678,-106.4489683,47.74836231,765,153,810.7241979,-45.7241979
1785,-106.3197917,47.61711166,704,89,749.6072867,-45.6072867
375,-106.7152215,47.65206531,784,115,829.5386573,-45.5386573
1788,-106.309617,47.62267207,704,49,749.4485868,-45.4485868
663,-106.4494799,47.75045235,766,152,811.4269866,-45.4269866
664,-106.449413,47.7504442,766,152,811.4140173,-45.4140173
1755,-106.2719603,47.65482263,707,115,752.2491001,-45.2491001
366,-106.7684222,47.6220764,785,123,830.2079726,-45.2079726
1756,-106.3156819,47.62834338,707,88,752.1763198,-45.1763198
141,-107.1011712,47.62872707,846,40,891.1753768,-45.1753768
30,-107.2168521,47.60211835,859,92.4,904.0516417,-45.0516417
478,-106.5502334,47.72919602,778,119,822.9366508,-44.9366508
555,-106.4657319,47.76286089,773,98,817.9098755,-44.9098755
340,-106.8268256,47.59539906,788,106,832.7806846,-44.7806846
1814,-106.2051547,47.67886645,703,125,747.5744482,-44.5744482
470,-106.5519953,47.72969408,779,117,823.3954149,-44.3954149
502,-106.4701853,47.77172077,777,131,821.2824749,-44.2824749
140,-107.0618099,47.54950915,817,125,861.1747001,-44.1747001
214,-107.0947023,47.59442676,836,146,880.0679017,-44.0679017
69,-107.0623908,47.58292771,827,128,870.9818897,-43.9818897
1789,-106.28804,47.63555855,706,93,749.4287113,-43.4287113
505,-106.5434126,47.72719146,778,77,821.1516638,-43.1516638
124,-107.1814305,47.58568276,850,46,892.9751084,-42.9751084
